Treatment,Level,Replicate,Time,Frame,Side,Bees,Surface cm2,Beespercm2,Brood,Surface cm2,Broodpercm2,,#of Bees,,
Control,Control,1,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,1,B,0,0,0,0,0,0,,0,,
Control,Control,1,1,2,A,0,0,0,0,0,0,,0,,
Control,Control,1,1,2,B,0,0,0,0,0,0,,0,,
Control,Control,1,1,3,A,0,0,0,0,0,0,,0,,
Control,Control,1,1,3,B,0,0,0,0,0,0,,0,,
Control,Control,1,1,4,A,0,0,0,0,0,0,,0,,
Control,Control,1,1,4,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,5,A,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,5,B,0,0,0,0,0,0,,0,,
Control,Control,1,1,6,A,0.2,113,157.07,0,0,0,,157.07,,
Control,Control,1,1,6,B,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,7,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,7,B,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Control,Control,1,1,8,A,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Control,Control,1,1,8,B,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,9,A,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,9,B,0.2,113,157.07,0,0,0,,157.07,,
Control,Control,1,1,10,A,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,10,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,2,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Control,Control,1,1,2,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,3,A,0.2,113,157.07,0,0,0,,157.07,,
Control,Control,1,1,3,B,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,4,A,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Control,Control,1,1,4,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Control,Control,1,1,5,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,5,B,0.15,84.75,117.8025,0.4,226,836.2,,117.8025,,
Control,Control,1,1,6,A,0.15,84.75,117.8025,0.3,169.5,627.15,,117.8025,,
Control,Control,1,1,6,B,0.15,84.75,117.8025,0.3,169.5,627.15,,117.8025,,
Control,Control,1,1,7,A,0.15,84.75,117.8025,0.3,169.5,627.15,,117.8025,,
Control,Control,1,1,7,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,8,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Control,Control,1,1,8,B,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Control,Control,1,1,9,A,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Control,Control,1,1,9,B,0.15,84.75,117.8025,0.3,169.5,627.15,,117.8025,,
Control,Control,1,1,10,A,0.2,113,157.07,0,0,0,,157.07,,
Control,Control,1,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,1,1,2,A,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,2,B,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,3,A,0.2,113,157.07,0,0,0,,157.07,,
Control,Control,1,1,3,B,0.1,56.5,78.535,0,0,0,,78.535,,
Control,Control,1,1,4,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Control,Control,1,1,4,B,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Control,Control,1,1,5,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,5,B,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Control,Control,1,1,6,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Control,Control,1,1,6,B,0.15,84.75,117.8025,0.4,226,836.2,,117.8025,,
Control,Control,1,1,7,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Control,Control,1,1,7,B,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Control,Control,1,1,8,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,8,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,9,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,9,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Control,Control,1,1,10,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Control,Control,1,1,10,B,0.2,113,157.07,0,0,0,,157.07,Total:,6322.0675
Control,Control,2,1,1,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Control,Control,2,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Control,Control,2,1,2,A,0.2,113,157.07,0,0,0,,157.07,,
Control,Control,2,1,2,B,0.2,113,157.07,0,0,0,,157.07,,
