Sample,Colony,Treatment,Level,Replicate,Bees,Mites,Mitesper,,2/16/17 (pretreatment)
1,C1,Control,Control,1,214,2,0.934579439,,
1,C2,Control,Control,2,179,2,1.117318436,,
1,C3,Control,Control,3,224,6,2.678571429,,
1,FL1,Flow,Low,4,227,7,3.083700441,,
1,FL2,Flow,Low,5,243,1,0.411522634,,
1,FL3,Flow,Low,6,272,13,4.779411765,,
1,FM1,Fmedium,Medium,7,235,5,2.127659574,,
1,FM2,Fmedium,Medium,8,231,3,1.298701299,,
1,FM3,Fmedium,Medium,9,202,7,3.465346535,,
1,FH1,Fhigh,High,10,216,1,0.462962963,,
1,FH2,Fhigh,High,11,198,2,1.01010101,,
1,FH3,Fhigh,High,12,181,1,0.552486188,,
1,DL1,Dlow,Low,13,198,6,3.03030303,,
1,DL2,Dlow,Low,14,191,5,2.617801047,,
1,DL3,Dlow,Low,15,184,1,0.543478261,,
1,DM1,Dmedium,Medium,16,223,6,2.69058296,,
1,DM2,Dmedium,Medium,17,204,1,0.490196078,,
1,DM3,Dmedium,Medium,18,198,0,0,,
1,DH1,Dhigh,High,19,232,7,3.017241379,,
1,DH2,Dhigh,High,20,215,11,5.11627907,,
1,DH3,Dhigh,High,21,230,9,3.913043478,,
2,C1,Control,Control,1,224,7,3.125,,2/26/2018 (4 days post treatment)
2,C2,Control,Control,2,195,0,0,,
2,C3,Control,Control,3,218,8,3.669724771,,
2,FL1,Flow,Low,4,214,1,0.46728972,,
2,FL2,Flow,Low,5,251,7,2.788844622,,
2,FL3,Flow,Low,6,219,18,8.219178082,,
2,FM1,Fmedium,Medium,7,199,9,4.522613065,,
2,FM2,Fmedium,Medium,8,192,2,1.041666667,,
2,FM3,Fmedium,Medium,9,260,4,1.538461538,,
2,FH1,Fhigh,High,10,233,1,0.429184549,,
2,FH2,Fhigh,High,11,188,1,0.531914894,,
2,FH3,Fhigh,High,12,172,1,0.581395349,,
2,DL1,Dlow,Low,13,177,8,4.519774011,,
2,DL2,Dlow,Low,14,228,3,1.315789474,,
2,DL3,Dlow,Low,15,222,15,6.756756757,,
2,DM1,Dmedium,Medium,16,269,3,1.115241636,,
2,DM2,Dmedium,Medium,17,221,3,1.357466063,,
2,DM3,Dmedium,Medium,18,234,4,1.709401709,,
2,DH1,Dhigh,High,19,200,0,0,,
2,DH2,Dhigh,High,20,257,1,0.389105058,,
2,DH3,Dhigh,High,21,232,4,1.724137931,,
3,C1,Control,Control,1,220,5,2.272727273,,3/1/2018 (7 days post treatment)
3,C2,Control,Control,2,235,2,0.85106383,,
3,C3,Control,Control,3,205,11,5.365853659,,
3,FL1,Flow,Low,4,230,7,3.043478261,,
3,FL2,Flow,Low,5,243,14,5.761316872,,
3,FL3,Flow,Low,6,237,11,4.641350211,,
3,FM1,Fmedium,Medium,7,277,27,9.747292419,,
3,FM2,Fmedium,Medium,8,231,2,0.865800866,,
3,FM3,Fmedium,Medium,9,278,2,0.71942446,,
3,FH1,Fhigh,High,10,229,2,0.873362445,,
3,FH2,Fhigh,High,11,262,6,2.290076336,,
3,FH3,Fhigh,High,12,280,6,2.142857143,,
3,DL1,Dlow,Low,13,235,3,1.276595745,,
3,DL2,Dlow,Low,14,242,4,1.652892562,,
3,DL3,Dlow,Low,15,198,13,6.565656566,,
3,DM1,Dmedium,Medium,16,252,5,1.984126984,,
3,DM2,Dmedium,Medium,17,256,11,4.296875,,
3,DM3,Dmedium,Medium,18,245,3,1.224489796,,
3,DH1,Dhigh,High,19,245,9,3.673469388,,
3,DH2,Dhigh,High,20,248,3,1.209677419,,
3,DH3,Dhigh,High,21,277,24,8.664259928,,
